,name0,average,usersrated,weight,minplayers,maxplayers,playingtime,yearpublished
1092,Gloomhaven: Die Pranken des L???¶wen,9.177,662,3.326,1,4,120,2020
2634,Arena: The Contest,9.127,535,2.765,1,8,90,2019
89591,Mage Knight Big Box,9.028,2327,4.581,1,5,150,2018
87910,A Feast for Odin: The Norwegians,8.961,1187,3.88,1,4,120,2018
87878,Trickerion: Collector's Edition,8.925,715,4.511,1,4,180,2019
146,Clank! Legacy: Acquisitions Incorporated,8.89,1909,2.641,2,4,120,2019
87738,Star Wars: L?¡zad?¡s â?? A Birodalom Felemelked?©se,8.853,2154,3.657,2,4,240,2017
87735,Spirit Island: Promo Pack 1,8.853,660,4.167,1,4,120,2017
413,Too Many Bones: Undertow,8.832,1303,4.095,1,2,180,2018
0,Gloomhaven,8.825,36049,3.836,1,4,120,2017
87664,Spirit Island: Ast und Tatze,8.822,1982,4.121,1,4,120,2017
662,Aeon's End: The New Age,8.821,934,2.84,1,4,60,2019
87635,A Mars Terraform?¡l?¡sa: A kezdetek,8.809,6536,2.529,1,5,120,2018
87631,Mage Knight Board Game: The Lost Legion Expansion,8.807,3390,4.193,1,5,240,2012
87628,Root: The Underworld Expansion,8.802,521,3.231,2,6,90,2020
87561,Scythe: A Fenris felemelked?©se,8.799,3804,3.245,1,5,150,2018
87525,The 7th Continent: Dans les airs  sous la terre,8.773,983,3.125,1,4,1000,2019
87333,Xia: Embers of a Forsaken Star,8.743,1641,3.536,1,5,180,2017
1327,Middara: Unintentional Malum â?? Act 1,8.735,729,3.807,1,4,60,2019
87320,Arkham Horror: Das Kartenspiel â?? Der Pfad nach Carcosa: Erweiterung,8.733,996,3.5,1,2,120,2017
1159,Eclipse. ?????¾???¾?¹ ???°?????²?µ?? ?³?°?»?°?º???¸?º?¸,8.727,676,3.364,2,6,200,2020
34,Kingdom Death: Monster,8.712,7033,4.239,1,4,180,2015
87174,Le Case della Follia: Seconda Edizione â?? Viaggi Terrficanti: Espansione,8.68,728,2.75,1,5,180,2018
5,Twilight Imperium (Fourth Edition),8.68,11015,4.216,3,6,480,2017
86944,Herr der Ringe: Der Ringkrieg Collector's Edition,8.666,1053,3.991,2,4,180,2010
86942,Gloomhaven: Solo Scenarios,8.665,547,4.182,1,1,0,2017
86937,Twilight Imperium (Third Edition): Shards of the Throne,8.661,2337,4.31,3,8,240,2011
180,Tainted Grail: Der Niedergang Avalons,8.656,2990,3.25,1,4,120,2019
86922,Viticulture: Toscane Edition Essentielle,8.651,4491,3.324,1,6,150,2016
86892,Le Case della Follia: Seconda Edizione â?? Strade di Arkham: Espansione,8.641,1338,2.727,1,5,180,2017
2,Brass. ???¸???¼?¸?½?³?µ?¼,8.638,13628,3.921,2,4,120,2018
86880,Descent: Journeys in the Dark (Second Edition) â?? Road to Legend,8.635,997,3.077,1,4,0,2016
1,Pandemic Legacy:  Saison 1,8.622,37719,2.83,2,4,60,2015
86736,Twilight Imperium (Third Edition): Shattered Empire,8.599,4548,4.198,3,8,240,2006
86732,Der Eiserne Thron: Das Brettspiel (2. Edition) â?? Mutter der Drachen,8.598,901,4,3,8,240,2018
86731,The Castles of Burgundy (20th Anniversary),8.597,1250,3.036,1,4,120,2019
86695,Guerra del Anillo: Se?±ores de la Tierra Media,8.578,1311,3.818,2,4,180,2012
86683,Star Wars: Assalto Imperiale â?? Il Dominio di Jabba,8.574,637,3.5,2,5,0,2017
86598,Legendary: A Marvel Deck Building Game â?? X-Men,8.552,1048,2.429,1,5,60,2017
86541,Beyond Valor: ASL Module 1,8.534,1128,4.613,2,2,120,1985
86502,Aeon's End: Niezbadany Mrok,8.516,513,3,1,4,60,2017
86496,Les Contr?©es de l'Horreur: Cit?©s en Ruine,8.512,1132,3,1,8,240,2017
86495,Rising Sun: Daimyo Box,8.511,1165,3.364,3,6,120,2018
86494,Great Western Trail: Kolej na P?³??noc,8.511,1994,3.757,2,4,150,2018
86490,Clash of Cultures: Civilisations,8.508,800,3.794,2,4,240,2014
86488,Xia: Misiones y poderes,8.507,501,3,1,5,0,2018
86487,Combat Commander: Mediterranean,8.506,1199,2.965,2,2,120,2007
86478,Anachrony: Exosuit Commander Pack,8.502,1145,3.941,1,4,120,2017
7,Gaia Project,8.498,13865,4.332,1,4,150,2017
85731,Feszt?¡v: Eur?³pai Madarak,8.498,3114,2.277,1,5,70,2019
85725,Aeon's End: Le Vide,8.495,518,3,1,4,60,2017
297,Mythic Battles: Pantheon,8.492,2373,3.01,2,4,90,2017
85722,Space Alert: La nouvelle fronti?¨re,8.492,1044,3.355,1,5,30,2010
85720,Conflict of Heroes: Eastern Front â?? Solo Expansion,8.49,501,3.316,1,1,30,2015
85719,Arkham Horror: Das Kartenspiel â?? Das Verm?¤chtnis von Dunwich: Erweiterung,8.49,2337,3.5,1,2,120,2017
85711,Dominion: Renaissance,8.486,514,2.667,2,4,30,2018
85702,Puerto Rico,8.484,4186,3.272,2,5,150,2011
85699,Dominion: Empires,8.483,1650,2.762,2,4,30,2016
85677,Root La Compagnia del Fiume,8.472,2602,3.575,1,6,90,2018
11,Guerra del Anillo,8.469,12212,4.099,2,4,180,2012
85663,Arler Erde: Tee & Handel,8.464,619,4,1,3,150,2017
